OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,VICGRID_X,VICGRID_Y,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,SRNS,SRNS_ALL,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME
3450856,T20170000923,ABS to receive accident,Finished,16/01/2017,07.59.00,No,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,Cross intersection,Fatal accident,60 km/hr,No,30027,146.32093,-36.35793,Intersection,WANGARATTA,NORTH EASTERN REGION,2618545.04,2570419.527,2,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,0,0,0,SMALL_CITIES,SMALL_CITIES,WANGARATTA,NORTH EASTERN REGION,C,C,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Country
3450869,T20170001348,ABS to receive accident,Finished,22/01/2017,16.50.00,Yes,Collision with vehicle,Sunday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,No,313168,145.87987,-38.5302,Non-Intersection,SOUTH GIPPSLAND,EASTERN REGION,2576735.941,2329811.155,21,5,1,1,3,16,12,8,0,16,5,0,0,0,0,0,0,0,0,2,No,0,5,0,5,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SOUTH GIPPSLAND,"EASTERN REGION,EASTERN REGION",B,B,Arterial Highway,Arterial Highway,Undivided,Undiv,Country
3450895,T20170002128,ABS to receive accident,Finished,3/02/2017,07.30.00,No,Collision with a fixed object,Friday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,313627,144.56795,-36.19896,Non-Intersection,CAMPASPE,NORTHERN REGION,2461145.102,2588792.594,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,CAMPASPE,NORTHERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
3450942,T20170001781,ABS to receive accident,Finished,29/01/2017,04.30.00,Yes,Struck Pedestrian,Sunday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,Not known,Dark No street lights,Yes,Not at intersection,Fatal accident,100 km/hr,No,313385,143.36304,-35.18537,Non-Intersection,SWAN HILL,NORTHERN REGION,2350858.599,2700073.47,2,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,No,0,1,0,0,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SWAN HILL,NORTHERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country
3451020,T20170001017,ABS to receive accident,Finished,17/01/2017,16.00.00,No,Collision with vehicle,Tuesday,RIGHT TURN SIDESWIPE,No,Day,Yes,Not at intersection,Fatal accident,110 km/hr,No,313002,146.28457,-38.19228,Non-Intersection,LATROBE,EASTERN REGION,2612535.793,2366921.612,2,1,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,No,0,2,1,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,LATROBE,"EASTERN REGION,EASTERN REGION",M,M,Freeway,Freeway,Divided,Div,Country
3451186,T20170001490,ABS to receive accident,Finished,24/01/2017,16.30.00,No,Collision with vehicle,Tuesday,RIGHT THROUGH,No,Day,Yes,T intersection,Fatal accident,60 km/hr,No,37394,144.66763,-37.87595,Intersection,WYNDHAM,METROPOLITAN NORTH WEST REGION,2470759.275,2402742.371,2,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,MELB_URBAN,MELB_URBAN,WYNDHAM,METROPOLITAN NORTH WEST REGION,C,C,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Metro
3451310,T20170000778,ABS to receive accident,Finished,13/01/2017,16.45.00,Yes,Collision with a fixed object,Friday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,312904,144.75895,-36.71126,Non-Intersection,CAMPASPE,NORTHERN REGION,2478465.621,2532010.861,4,4,1,3,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,CAMPASPE,NORTHERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
3451314,T20170000786,ABS to receive accident,Finished,14/01/2017,00.35.00,Yes,Collision with a fixed object,Saturday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Fatal accident,60 km/hr,Yes,312905,145.38892,-37.89126,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,2534208.938,2401023.677,2,2,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,Yes,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3451346,T20170001579,ABS to receive accident,Finished,25/01/2017,18.50.00,Yes,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Fatal accident,100 km/hr,No,51143,145.22263,-36.41411,Intersection,SHEPPARTON,NORTH EASTERN REGION,2519965.702,2564985.659,4,3,1,1,1,1,2,2,0,2,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SHEPPARTON,NORTH EASTERN REGION,A,"A,C",Arterial Highway,"Arterial Highway,Arterial Other",Divided,"Div,Undiv",Country
3451500,T20170001662,ABS to receive accident,Finished,27/01/2017,03.50.00,Yes,Collision with a fixed object,Friday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,T intersection,Fatal accident,100 km/hr,Yes,313337,143.66686,-37.65381,Intersection,GOLDEN PLAINS,SOUTH WESTERN REGION,2382373.018,2426623.091,3,2,1,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,SMALL_TOWNS,SMALL_TOWNS,GOLDEN PLAINS,SOUTH WESTERN REGION,B,B,Arterial Highway,"Arterial Highway,Local Road",Undivided,Undiv,Country
